id,titulo,genero,rating
5,Disneyland dream,Terror,3.5
7,Who is john galt,Terror,6.2
10,The case of lucky legs,Terror,3.7
17,Satans tango ,Terror,2.8
18,Chu chin chow,Terror,6.2
20,Boy meets boy,Terror,1.7
22,Naked in new york,Terror,1.9
24,Tic code the,Terror,7.0
25,Kick ass,Terror,5.1
27,Telefon,Terror,8.2
34,Yonkers joe,Terror,2.6
35,With love,Terror,1.0
42,Experiment in terror,Terror,6.6
44,Summer in berlin,Terror,8.8
47,Raiders of the lost ark,Terror,3.4
49,Horrible bosses 2,Terror,5.7
53,47 ronin,Terror,4.1
54,Heartlands,Terror,9.3
56,Minions,Terror,9.8
60,Flying down to rio,Terror,4.9
71,Dr. jack,Terror,1.8
73,Deep rising,Terror,4.6
77,Doubt,Terror,8.4
82,Rogue cop,Terror,2.6
84,Greatest show on earth,Terror,6.8
86,Creepshow 2,Terror,5.4
88,200 mph,Terror,8.7
92,Silent house,Terror,10.0
97,Vie en rose,Terror,1.8
99,Jimmy rosenberg,Terror,9.9
